topic,content
technology,유통/무역/운송
product,무신사스토어
service,통신판매 중개업 웹 및 어플리케이션
introduction,"무신사는 700만 회원을 보유한 국내 1위 온라인 패션 플랫폼입니다. 스트릿, 글로벌 명품, 디자이너 등 5천여 개 브랜드가 입점한 「무신사 스토어」와 국내·외 최신 패션 트렌드와 정보를 전달하는 패션 매거진 「무신사 매거진」을 운영하고 있습니다. 2019년 연 거래액 9,000억 원을 돌파했으며, 아시아 No.1 패션 커머스를 비전 삼아 2020년 연 거래액 1조 4천억 원을 목표하고 있습니다."
