topic,content
technology,IT/웹/통신
product,배달의민족
service,배달 음식점 중계 서비스 어플리케이션
introduction,"국내 1위 배달앱 배달의민족을 운영하는 ‘우아한형제들’은 '좋은 음식을 먹고 싶은 곳에서'라는 비전 아래, 배달이 안 되던 외식업소의 음식을 배달해주는 '배민라이더스', 음식업종 자영업자에게 좋은 품질의 배달용품을 합리적인 가격에 제공하는 '배민상회' 등으로 배달문화를 바꿔 나가고 있습니다. 또한 종합 '푸드테크' 기업으로 나아가기 위하여 해외시장 진출 등의 글로벌 사업과 자율주행 로봇 기술 개발 등의 미래사업으로 사업확장을 준비, 진행하고 있습니다.

우아한형제들은 창업 초기부터 국내외 유명 투자사에게 가치를 인정받아 왔습니다. 세계적인 투자 은행 골드만삭스와 아시아 최대 규모 투자사 힐하우스 캐피털, 실리콘밸리에 기반을 둔 벤처캐피털 알토스벤처스 등으로부터 총 5천억 원 이상의 투자를 유치하였고 2018년 말, 기업가치가 3조원을 넘어서면서 '유니콘' 기업 지위를 공식화하였습니다.

규율위의 자유ㆍ스타보다 팀웍ㆍ진지함과 위트ㆍ열심만큼 성과를 4대 핵심가치로 삼고 있는 우아한형제들은 ‘구성원을 행복하게 만들면 행복한 구성원이 더 좋은 서비스를 만든다’라는 믿음으로 모두가 즐겁게 일하는 회사를 만들어 가기 위해 오늘도 노력합니다."
