topic,content
technology,IT/웹/통신
product,핑크퐁
service,캐릭터 및 교육사업
introduction,"스마트스터디는 글로벌 IP 회사입니다.
재밌는 고품질 콘텐츠를 만들고, 높은 기술력을 더합니다.
플랫폼을 뛰어넘고, 국경을 가로질러
전 세계 사람들을 만나고 있습니다."
