topic,content
technology,IT/웹/통신
product,PUBG
service,배틀로얄 FPS 게임
introduction,"[게임 제작의 명가]

크래프톤의 꿈은 ""존경 받는 제작 리더십과 품격 있는 구성원들이 각자의 역할에서 최고가 되기 위한 노력을 통해 명작 게임을 만드는 것""입니다.

끊임없이 시장과 고객에 대해 학습을 멈추지 않는 동료, 품격 있게 협업할 수 있는 동료들과 함께 하기를 소망합니다. 게임 제작을 평생의 업으로 생각하며 유행에 좌지우지 되지 않는 그런 동료들과 함께, 크래프톤을 좋은 삶의 터전으로 만들어 가고자 합니다."
