topic,content
technology,IT/웹/통신
product,리니지2M
service,오픈월드 모바일 MMORPG
introduction,"즐거움으로 연결된 새로운 세상, 엔씨소프트

세상 모두가 즐거움으로 연결되는 새로운 미래,
아무도 가보지 못한 그 세상이 감동으로 가득 찰 때까지
엔씨는 끊임없이 꿈꾸며 도전을 멈추지 않을 것입니다.

CEO'S MESSAGE

엔씨는 즐거움의 미래를 열기 위해 새로운 세계를 상상하고 기솔의 혁신을 거듭하며 오직엔씨만이 갈 수 있는 길에 집중했습니다.

세상 모든 이들이 즐거움으로 연결될 때까지 끊임없이 도전하고 꿈꾸겠습니다.

CEO/CCO 김택진"
