topic,content
technology,IT/웹/통신
product,쿠팡
service,소셜 커머스/온라인 종합 쇼핑몰/아이템 마켓
introduction,"쿠팡은 글로벌 이커머스 시장을 선도하는 글로벌 기업이며 한국 최대의 인터넷 기업입니다. 쿠팡의 미션은 고객이 '쿠팡 없이 어떻게 살았을까'라고 생각하는 세상을 만드는 것입니다. 쿠팡은 고객을 최우선에 두고 고객에게 제시할 수 있는 최상의 상품을 최상의 가격으로 매우 편리한 맞춤형 쇼핑 환경에서 제공하고 있습니다. 쿠팡은 우리의 목표를 함께 달성해나갈 열정 넘치는 직원을 끊임없이 찾고 있습니다.

한국 시장은 이커머스 산업이 성장할 수 있는 유리한 조건을 갖추고 있습니다. 한국의 이커머스 시장은 세계 5위 규모이며, 2023년이면 매출 규모가 1460억 달러에 이를 것으로 예상됩니다. 게다가 서울은 전 세계에서 가장 인구 밀도가 높은 도시 중의 하나입니다. 이러한 여건은 새로운 상품 배송 수단 및 방법을 찾아내려는 기업에 있어 흥미로운 기회를 제공합니다. 따라서 한국 시장은 쿠팡과 같은 진취적인 기업에 있어 완벽한 환경이라 할 수 있습니다.

쿠팡은 2010년 8월 서비스를 개시했습니다. 사업 초기에는 딜 기반 비즈니스로 운영하다가 2014년에 온라인 유통업으로 방향을 전환했습니다. 2015년에는 연매출 10억 달러를 달성했고, 이는 아시아 이커머스 기업 중 최단기간에 이룬 성과입니다. 2016년에는 매출이 약 17억 달러로 증가하였고, 2017년에는 25억 달러를 돌파하며 전년 대비 약 50% 성장을 기록했습니다. 2018년 매출 규모는 2017년 보다 약 60% 늘어나 39억 달러에 달했습니다. 쿠팡의 이러한 경이적인 성공에 투자자들도 주목했습니다. 2018년 11월 소프트뱅크 비전펀드는 쿠팡에 20억 달러를 투자한다고 발표하였고, 이로 인해 쿠팡의 기업가치는 약 90억 달러로 평가되고 있습니다. 이는 2015년 6월 소프트뱅크그룹으로부터 10억 달러를 투자 받은 뒤 이뤄진 추가 투자입니다. 이번 투자를 바탕으로 쿠팡은 고객을 위한 기술 혁신을 계속 이어갈 계획입니다. 쿠팡은 블랙록 및 세쿼이아 캐피털 등에서도 상당 규모의 투자를 유치했습니다 .

쿠팡의 기술은 성장을 가속하고 있습니다. 쿠팡의 독점적인 결제 서비스인 쿠페이는 연간 성장률 200%를 기록하고 있으며, 약 천만 명의 고객이 사용하고 있습니다. 쿠팡의 데이터 플랫폼은 매일 3억 건 이상의 상품 검색 결과를 눈 깜박할 새에 고객에게 제시합니다. 한국인 두 명 중 한 명이 쿠팡의 모바일 앱을 설치했으며, 매일 350만 명이 넘는 고객들이(Daily Active Users) 이용하고 있습니다. 현재 쿠팡의 매출 90% 이상이 모바일 기기를 통해 발생합니다 , . 또한 쿠팡은 라스트마일 배송 선두주자입니다. 쿠팡은 물류센터(FC), 자체 배송 트럭, 자체 배송 인력 등을 통해 배송의 첫 단계부터 최종 배송지에 상품이 도착하는 단계까지 아우르는 자체 인프라를 갖추고 있습니다. 쿠팡은 80개 이상의 물류센터를 보유하고 있으며, 연면적은 축구장 190개를 합친 것과 비슷한 1500만 제곱피트에 육박합니다. 로켓배송은 이미 하루 100만 상자 이상을 배송하고 있고, 하룻밤 사이에 배송량이 두 배로 늘어나는 갑작스러운 수요 증가도 순식간에 대응해냅니다. 로켓프레시는 고객이 전날 자정까지 주문한 신선식품을 오전 7시까지 배송하는 서비스이며 200만 종 이상의 상품을 제공합니다. 한편 새로 출시된 쿠팡의 음식배달 서비스인 쿠팡이츠는 최근 몇달 간 빠른 속도로 시장에 진입했습니다.

쿠팡은 국내에서, 그리고 전 세계에서 최고의 인재를 발굴하고 육성하기 위해 전념하고 있습니다. 탁월한 인재를 유치하기 위하여 보상패키지에서 스톡옵션을 중요한 부분으로 활용하고 있습니다. 회사가 성장함에 따라 기업가치와 스톡옵션 예상수익 또한 증가하고 있습니다. 회사의 실적은 보장할 수 있는 것은 아닙니다. 하지만, 기업가치와 직원이 보유한 옵션의 가치는 엄청난 성장 잠재력을 보여주고 있습니다. 독립적인 외부 애널리스트에 따르면 쿠팡의 기업가치는 중기적으로 150억-200억 달러에 이를 것으로 예상됩니다.

우리는 계속해서 혁신하고 있으며, 이러한 우리의 업적은 수차례에 걸쳐 인정받았습니다. MIT Technology Review의 ‘세계에서 가장 스마트한 50대 기업(50 Smartest Companies in the World)’에 선정되었으며 Forbes의 ‘글로벌 게임 체인저(Global Game Changers) 30인’ 명단에도 오른 바 있습니다. 현재까지 이렇게 MIT와 Forbes 명단 모두에 거명된 기업은 아마존, 구글, 페이스북, 테슬라 모터스 등 9개 기업에 불과한데 그 중에 쿠팡이 포함된 것입니다."
