topic,content
technology,IT/웹/통신
product,야놀자
service,위치정보를 이용한 숙박시설 검색/예약 어플리케이션
introduction,"누구나 마음편히 놀 수 있게 [정보를] 주는 회사
BRAND MISSION
쉼 없이 달려가는 일상 속에서 잠시 휴식과 영감을 얻기 위해 놀고 싶은 순간, 망설임 없이
누구나

모든 숙박 / 레저 카테고리다양한 가격대모든 지역 / 내국인 & 외국인 
마음 편히
 
편하고, 안정적이고, 정확한 서비스깨끗하고, 신뢰할 수 있는 숙소편안한 휴식을 위한 비품 및 공간 
놀 수 있게
 
놀고 싶어지는 이야기놀기 좋은 숙박 공간놀기 편한 다양한 서비스"
