topic,content
technology,IT/웹/통신
product,toss
service,간편 결제 및 간편 송금 서비스 어플리케이션
introduction,"금융을 쉽고 간편하게.

토스팀은 불편하고 복잡한 금융의 문제를해결하기 위해 모였습니다.
어렵고 불편하고, 멀게 느껴지는 금융이 아닌누구에게나 가깝고 상식적인 금융,
최고의 사용 경험을 제공하는 서비스를만들어 갑니다.



금융이 필요한 순간, 토스로 충분합니다.

합리적이고 상식적인 금융, 유용하고 똑똑한 서비스,
고민이 필요 없는 자연스러운 사용 경험으로
일상에 필요한 모든 금융 서비스를 만나볼 수 있습니다.



토스는 대한민국의 송금을 바꾸었고, 이제 금융을 바꿔 나가고 있습니다.

토스는 2015년 처음 선보인 간편송금 서비스로, 불편한 송금의 경험을 완전히 바꾸며 대한민국 간편송금의 표준이 되었습니다. 이제는 간편송금과 결제, 금융 상품 가입, 투자와 대출 서비스는 물론, 내 돈의 흐름과 지출을 한눈에 파악하고, 신용을 관리해, 보다 현명한 금융 생활을 할 수 있도록 돕습니다.



토스팀은 모바일 금융 서비스의 역사를 쓰고 있습니다

수많은 규제 환경 속에서도 고객에게 행복감을 안겨줄 수 있는 사용자 경험, 가장 안전하게 믿고 맡길 수 있는 금융 서비스를 제공하기 위해 200여 명의 토스 팀원 모두 열정적으로 달리고 있습니다. 대한민국의 금융 생활이 완전히 새로워지는 역사를 만들겠습니다.



토스팀에는 탁월한 인재들이 모여 완전히 새로운 방식으로 일하고 있습니다

토스팀은 각 분야 최고 수준의 역량을 갖춘 200여 명의 인재들로 구성되어 있습니다. 토스팀은 금융 경험 혁신을 가장 중요한 목표로 두고, 자율과 책임의 원칙 아래 강력한 상호 신뢰의 문화에서 일하고 있습니다."
